Symbol,Name,Country,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,Industrials,Aluminum
AACI,Armada Acquisition Corp. I Common Stock,United States,2021,Finance,Blank Checks
AACIU,Armada Acquisition Corp. I Unit,United States,2021,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,United States,2021,Finance,Blank Checks
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,Real Estate,Real Estate Investment Trusts
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,2020,Finance,Investment Managers
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts
ABSI,Absci Corporation Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,2015,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,2018,Industrials,Metal Fabrications
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,United States,2022,Finance,Blank Checks
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,United States,2022,Finance,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,United States,2022,Finance,Blank Checks
ACACU,Acri Capital Acquisition Corporation Unit,United States,2022,Finance,Blank Checks
ACACW,Acri Capital Acquisition Corporation Warrant,United States,2022,Finance,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,2021,Finance,Blank Checks
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States,2021,Finance,Blank Checks
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,United States,2022,Health Care,Other Pharmaceuticals
ACAXR,Alset Capital Acquisition Corp. Right,United States,2022,Health Care,Other Pharmaceuticals
ACAXU,Alset Capital Acquisition Corp. Unit,United States,2022,Health Care,Other Pharmaceuticals
ACAXW,Alset Capital Acquisition Corp. Warrant,United States,2022,Health Care,Other Pharmaceuticals
ACCD,Accolade Inc. Common Stock,United States,2020,Consumer Discretionary,Business Services
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,2022,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,United States,2017,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ACHR,Archer Aviation Inc. Class A Common Stock,United States,2020,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,Consumer Staples,Food Chains
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,United States,2007,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,Technology,Industrial Machinery/Components
ACON,Aclarion Inc. Common Stock,United States,2022,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,United States,2022,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,United States,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,2011,Finance,Investment Managers
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,United States,2022,Health Care, Medicinal Chemicals and Botanical Products 
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,2011,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,2021,Finance,Specialty Insurers
ACU,Acme United Corporation. Common Stock,United States,1988,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,Finance,Finance/Investors Services
